number,kanji,kanji,pronunciation,example,comments
1,亜（亞）,亚,ア,亜流，亜麻，亜熱帯,,
2,哀,哀,"アイ  あわれ  あわれむ","哀愁，哀願，悲哀 哀れ，哀れな話，哀れがる 哀れむ，哀れみ",,
3,挨,挨,アイ,挨拶,,
4,愛,爱,アイ,愛情，愛読，恋愛,愛媛（えひめ）県,
5,曖,暖,アイ,曖昧,,
6,悪（惡）,恶,"アク  オ  わるい","悪事，悪意，醜悪 悪寒，好悪，憎悪 悪い，悪さ，悪者",,
7,握,握,"アク  にぎる","握手，握力，掌握 握る，握り，一握り",,
8,圧（壓）,压,アツ,圧力，圧迫，気圧,,
9,扱,扱,あつかう,扱う，扱い，客扱い,,
10,宛,宛,あてる,宛てる，宛先,⇔当てる，充てる,
11,嵐,岚,あらし,嵐，砂嵐,,
12,安,安,"アン  やすい","安全，安価，不安 安い，安らかだ",,
13,案,案,アン,案文，案内，新案,,
14,暗,暗,"アン  くらい","暗示，暗愚，明暗 暗い，暗がり",,
15,以,以,イ,以上，以内，以後,,
16,衣,衣,"イ  ころも","衣服，衣食住，作業衣 衣，羽衣",浴衣（ゆかた）,
17,位,位,"イ  くらい","位置，第一位，各位 位，位取り，位する",「三位一体」，「従三位」は，「サンミイッタイ」，「ジュサンミ」。,
18,囲（圍）,围,"イ  かこむ  かこう","囲碁，包囲，範囲 囲む，囲み 囲う，囲い",,
19,医（醫）,医,イ,医学，医療，名医,,
20,依,依,"イ   エ","依頼，依拠，依然 帰依",,
21,委,委,"イ  ゆだねる","委任，委員，委細 委ねる",,
22,威,威,イ,威力，威圧，示威,,
23,為（爲）,为,イ,為政者，行為，作為,為替（かわせ）,
24,畏,畏,"イ  おそれる","畏敬，畏怖 畏れる，畏れ",⇔恐れる,
25,胃,胃,イ,胃腸，胃酸，胃弱,,
26,尉,尉,イ,尉官，一尉，大尉,,
27,異,异,"イ  こと","異論，異同，奇異 異にする，異なる",,
28,移,移,"イ  うつる  うつす","移転，移民，推移 移る，移り変わり 移す",,
29,萎,萎,"イ  なえる","萎縮 萎える",,
30,偉,伟,"イ  えらい","偉大，偉人，偉観 偉い，偉ぶる",,
31,椅,椅,イ,椅子,,
32,彙,汇,イ,語彙,＊［（付）第２の３【剝】参照］,
33,意,意,イ,意見，意味，決意,意気地（いくじ）,
34,違,违,"イ  ちがう  ちがえる","違反，違法，相違 違う，違い，間違う 違える，見違える，間違える",,
35,維,维,イ,維持，維新，繊維,,
36,慰,慰,"イ  なぐさめる  なぐさむ","慰安，慰問，慰労 慰める，慰め 慰む，慰み",,
37,遺,遗,"イ   ユイ","遺棄，遺産，遺失 遺言",「遺言」は，「イゴン」とも。,
38,緯,纬,イ,緯度，北緯，経緯,,
39,域,域,イキ,域内，地域，区域,,
40,育,育,"イク  そだつ  そだてる  はぐくむ","育児，教育，発育 育つ，育ち 育てる，育て親 育む",,
41,一,一,"イチ  イツ  ひと  ひとつ","一度，一座，第一 一般，同一，統一 一息，一筋，一月目 一つ","一日（ついたち） 一人（ひとり）",
42,壱（壹）,壹,イチ,壱万円,,
43,逸（逸）,逸,イツ,逸話，逸品，逸する,,
44,茨,茨,いばら,,茨城県,
45,芋,芋,いも,芋，里芋，焼き芋,,
46,引,引,"イン  ひく  ひける","引力，引退，索引 引く，字引 引ける",⇔弾く,
47,印,印,"イン  しるし","印刷，印象，調印 印，目印，矢印",,
48,因,因,"イン  よる","因果，原因，要因 因る，……に因る",,
49,咽,咽,イン,咽喉,,
50,姻,姻,イン,姻族，婚姻,,
51,員,员,イン,満員，定員，社員,,
52,院,院,イン,院内，議院，病院,,
53,淫,淫,"イン  みだら","淫行，淫乱 淫らだ",＊［（付）第２の３参照］,
54,陰,阴,"イン  かげ  かげる","陰気，陰性，光陰 陰，日陰 陰る，陰り",⇔影,
55,飲,饮,"イン  のむ","飲料，飲食，痛飲 飲む，飲み水",,
56,隠（隱）,隐,"イン  かくす  かくれる","隠居，隠忍，隠語 隠す 隠れる，雲隠れ",,
57,韻,韵,イン,韻律，韻文，音韻,,
58,右,右,"ウ  ユウ  みぎ","右岸，右折，右派 左右，座右 右，右手",,
59,宇,宇,ウ,宇宙，気宇，堂宇,,
60,羽,羽,"ウ  は    はね","羽毛，羽化，羽翼 白羽の矢，一羽（わ），三羽（ば），六羽（ぱ） 羽，羽飾り",「羽（は）」は，前に来る音によって「わ」，「ば」，「ぱ」になる。,
61,雨,雨,"ウ  あめ   あま","雨量，降雨，梅雨 雨，大雨 雨雲，雨戸，雨具","五月雨（さみだれ） 時雨（しぐれ） 梅雨（つゆ） 「春雨」，「小雨」，「霧雨」などは，「はるさめ」，「こさめ」，「きりさめ」。",
62,唄,呗,うた,小唄，長唄,⇔歌,
63,鬱,郁,ウツ,憂鬱,,
64,畝,亩,うね,畝，畝間，畝織,,
65,浦,浦,うら,浦，津々浦々,,
66,運,运,"ウン  はこぶ","運動，運命，海運 運ぶ",,
67,雲,云,"ウン  くも","雲海，風雲，積乱雲 雲，雲隠れ",,
68,永,永,"エイ  ながい","永続，永久，永遠 永い，日永",⇔長い,
69,泳,泳,"エイ  およぐ","泳法，水泳，背泳 泳ぐ，泳ぎ",,
70,英,英,エイ,英雄，英断，俊英,,
71,映,映,"エイ  うつる  うつす  はえる","映画，上映，反映 映る，映り 映す 映える，夕映え","⇔写る ⇔写す ⇔栄える",
72,栄（榮）,荣,"エイ  さかえる  はえ  はえる","栄枯，栄養，繁栄 栄える，栄え 栄えある，見栄え，出来栄え 栄える","⇔映え ⇔映える",
73,営（營）,营,"エイ  いとなむ","営業，経営，陣営 営む，営み",,
74,詠,咏,"エイ  よむ","詠嘆，詠草，朗詠 詠む",⇔読む,
75,影,影,"エイ  かげ","影響，陰影，撮影 影，影絵，人影",⇔陰,
76,鋭,锐,"エイ  するどい","鋭利，鋭敏，精鋭 鋭い，鋭さ",,
77,衛（衞）,卫,エイ,衛生，護衛，守衛,,
78,易,易,"エキ  イ  やさしい","易者，貿易，不易 容易，安易，難易 易しい，易しさ",,
79,疫,疫,"エキ   ヤク","疫病，悪疫，防疫 疫病神",,
80,益,益,"エキ   ヤク","有益，利益，益する 御利益",,
81,液,液,エキ,液体，液状，血液,,
82,駅（驛）,驿,エキ,駅長，駅伝，貨物駅,,
83,悦,悦,エツ,悦楽，喜悦,,
84,越,越,"エツ  こす  こえる","越境，超越，優越 越す，年越し 越える，山越え","⇔超す ⇔超える",
85,謁（謁）,谒,エツ,謁見，拝謁，謁する,,
86,閲,阅,エツ,閲覧，閲歴，校閲,,
87,円（圓）,圆,"エン  まるい","円卓，円熟，一円 円い，円さ，円み",⇔丸い,
88,延,延,"エン  のびる  のべる  のばす","延長，延期，遅延 延びる 延べる，延べ 延ばす","⇔伸びる ⇔伸べる ⇔伸ばす",
89,沿,沿,"エン  そう","沿海，沿線，沿革 沿う，川沿い",⇔添う,
90,炎,炎,"エン  ほのお","炎上，炎天，火炎 炎",,
91,怨,怨,"エン  オン","怨恨 怨念",,
92,宴,宴,エン,宴会，宴席，酒宴,,
93,媛,媛,エン,才媛,愛媛（えひめ）県,
94,援,援,エン,援助，応援，声援,,
95,園,园,"エン  その","園芸，公園，楽園 学びの園，花園",,
96,煙,烟,"エン  けむる  けむり  けむい","煙突，煙霧，喫煙 煙る 煙 煙い，煙たい，煙たがる",,
97,猿,猿,"エン  さる","野猿，類人猿，犬猿の仲 猿",,
98,遠,远,"エン   オン  とおい","遠近，永遠，敬遠 久遠 遠い，遠出，遠ざかる",,
99,鉛,铅,"エン  なまり","鉛筆，亜鉛，黒鉛 鉛，鉛色",,
100,塩（鹽）,盐,"エン  しお","塩分，塩酸，食塩 塩，塩辛い",,
101,演,演,エン,演技，演奏，講演,,
102,縁（緣）,缘,"エン  ふち","縁故，縁日，血縁 縁，縁取り，額縁",「因縁」は，「インネン」。,
103,艶（艷）,艳,"エン  つや","妖艶 艶，色艶",,
104,汚,污,"オ  けがす  けがれる  けがらわしい  よごす  よごれる  きたない","汚点，汚物，汚名 汚す 汚れる，汚れ 汚らわしい 汚す，口汚し 汚れる，汚れ，汚れ物 汚い，汚らしい",,
105,王,王,オウ,王子，帝王,「親王」，「勤王」などは，「シンノウ」，「キンノウ」。,
106,凹,凹,オウ,凹凸，凹面鏡，凹レンズ,凸凹（でこぼこ）,
107,央,央,オウ,中央,,
108,応（應）,应,"オウ    こたえる","応答，応用，呼応  応える","「反応」，「順応」などは，「ハンノウ」，「ジュンノウ」。 ⇔答える",
109,往,往,オウ,往復，往来，既往症,,
110,押,押,"オウ  おす  おさえる","押収，押印，押韻 押す，押し 押さえる，押さえ","⇔推す ⇔抑える",
111,旺,旺,オウ,旺盛,,
112,欧（歐）,欧,オウ,欧文，西欧，渡欧,,
113,殴（毆）,殴,"オウ  なぐる","殴打 殴る",,
114,桜（櫻）,樱,"オウ  さくら","桜花，観桜 桜，桜色，葉桜",,
115,翁,翁,オウ,老翁,,
116,奥（奧）,奥,"オウ  おく","奥義，深奥 奥，奥底，奥さん",「奥義」は，「おくギ」とも。,
117,横（橫）,横,"オウ  よこ","横断，横領，専横 横，横顔，横たわる",,
118,岡,岗,おか,,岡山県，静岡県，福岡県,
119,屋,屋,"オク  や","屋上，屋外，家屋 屋根，花屋，楽屋","母屋（おもや） 部屋（へや） ⇔家",
120,億,亿,オク,億万，一億,,
121,憶,忆,オク,記憶，追憶,,
122,臆,臆,オク,臆説，臆測，臆病,"「臆説」，「臆測」は， 「憶説」，「憶測」とも書く。",
123,虞,虞,おそれ,虞,,
124,乙,乙,オツ,乙種，甲乙,乙女（おとめ）,
125,俺,俺,おれ,俺,,
126,卸,卸,"おろす  おろし","卸す 卸，卸商",⇔下ろす，降ろす,
127,音,音,"オン  イン  おと  ね","音楽，発音，騒音 福音，母音 音，物音 音，音色",「観音」は，「カンノン」。,
128,恩,恩,オン,恩情，恩人，謝恩,,
129,温（溫）,温,"オン  あたたか  あたたかい  あたたまる  あたためる","温暖，温厚，気温 温かだ 温かい 温まる 温める","⇔暖か ⇔暖かい ⇔暖まる ⇔暖める",
130,穏（穩）,穏,"オン  おだやか","穏和，穏当，平穏 穏やかだ",「安穏」は，「アンノン」。,
131,下,下,"カ  ゲ  した  しも  もと  さげる  さがる  くだる  くだす  くださる  おろす  おりる","下流，下降，落下 下水，下車，上下 下，下見 下，川下 下，足下 下げる 下がる 下る，下り 下す 下さる 下ろす，書き下ろす 下りる","下手（へた）    ⇔元，本，基 ⇔提げる     ⇔卸す，降ろす ⇔降りる",
132,化,化,"カ  ケ  ばける  ばかす","化石，化学，文化 化粧，化身，権化 化ける，お化け 化かす",,
133,火,火,"カ  ひ   ほ","火災，灯火，発火 火，火花，炭火 火影",⇔灯,
134,加,加,"カ  くわえる  くわわる","加入，加減，追加 加える 加わる",,
135,可,可,カ,可否，可能，許可,,
136,仮（假）,假,"カ   ケ  かり","仮面，仮定，仮装 仮病 仮の住まい，仮に，仮処分",仮名（かな）,
137,何,何,"カ  なに   なん","幾何学 何，何者，何事 何本，何十，何点",,
138,花,花,"カ  はな","花弁，花壇，落花 花，花火，草花",⇔華,
139,佳,佳,カ,佳作，佳人，絶佳,,
140,価（價）,价,"カ  あたい","価値，価格，評価 価",⇔値,
141,果,果,"カ  はたす  はてる  はて","果実，果断，結果 果たす，果たして〔副〕 果てる 果て",果物（くだもの）,
142,河,河,"カ    かわ","河川，河口，運河  河","河岸（かし） 河原（かわら） ⇔川",
143,苛,苛,カ,苛酷，苛烈,,
144,科,科,カ,科学，教科，罪科,,
145,架,架,"カ  かける  かかる","架橋，架空，書架 架ける 架かる","⇔掛ける，懸ける，賭ける ⇔掛かる，懸かる",
146,夏,夏,"カ   ゲ  なつ","夏季，初夏，盛夏 夏至 夏，夏服，真夏",,
147,家,家,"カ  ケ  いえ  や","家屋，家庭，作家 家来，本家，分家 家，家柄，家元 家主，借家","母家（おもや） ⇔屋",
148,荷,荷,"カ  に","出荷，入荷 荷，荷物，初荷",,
149,華,华,"カ   ケ  はな","華美，繁華，栄華 香華，散華 華やかだ，華やぐ，華々しい",⇔花,
150,菓,菓,カ,菓子，製菓，茶菓,,
151,貨,货,カ,貨物，貨幣，通貨,,
152,渦,涡,"カ  うず","渦中 渦，渦潮，渦巻く",,
153,過,过,"カ  すぎる  すごす  あやまつ  あやまち","過度，過失，通過 過ぎる，昼過ぎ 過ごす 過つ 過ち",,
154,嫁,嫁,"カ  よめ  とつぐ","再嫁，転嫁，嫁する 嫁，花嫁 嫁ぐ，嫁ぎ先",,
155,暇,暇,"カ  ひま","余暇，休暇，寸暇 暇，暇な時",,
156,禍（禍）,祸,カ,禍福，禍根，災禍,,
157,靴,靴,"カ  くつ","製靴 靴，靴下，革靴",,
158,寡,寡,カ,寡黙，寡婦，多寡,,
159,歌,歌,"カ  うた  うたう","歌曲，唱歌，短歌 歌 歌う","⇔唄 ⇔謡う",
160,箇,个,カ,箇条，箇所,,
161,稼,稼,"カ  かせぐ","稼業，稼働 稼ぐ，稼ぎ",,
162,課,课,カ,課，日課，課する,,
163,蚊,蚊,か,蚊，蚊柱，やぶ蚊,蚊帳（かや）,
164,牙,牙,"ガ   ゲ  きば","牙城，歯牙 象牙 牙",,
165,瓦,瓦,"ガ  かわら","瓦解 瓦，瓦屋根",,
166,我,我,"ガ  われ  わ","我流，彼我，自我 我，我々，我ら 我が国",,
167,画（畫）,画,"ガ  カク","画家，図画，映画 画期的，計画，区画",,
168,芽,芽,"ガ  め","発芽，麦芽，肉芽 芽，芽生える，新芽",,
169,賀,贺,ガ,賀状，祝賀，賀する,,
170,雅,雅,ガ,雅趣，優雅，風雅,,
171,餓,饿,ガ,餓死，餓鬼，飢餓,,
172,介,介,カイ,介入，紹介，介する,,
173,回,回,"カイ   エ  まわる  まわす","回答，転回，次回 回向 回る，回り，回り道 回す，手回し",⇔周り,
174,灰,灰,"カイ  はい","灰白色，石灰 灰，灰色，火山灰",,
175,会（會）,会,"カイ  エ  あう","会話，会計，社会 会釈，会得，法会 会う",⇔合う，遭う,
176,快,快,"カイ  こころよい","快活，快晴，明快 快い",,
177,戒,戒,"カイ  いましめる","戒心，戒律，警戒 戒める，戒め",,
178,改,改,"カイ  あらためる  あらたまる","改造，改革，更改 改める，改めて〔副〕 改まる",,
179,怪,怪,"カイ  あやしい  あやしむ","怪談，怪物，奇怪 怪しい，怪しげだ 怪しむ",⇔妖しい,
180,拐,拐,カイ,拐帯，誘拐,,
181,悔（悔）,悔,"カイ  くいる  くやむ  くやしい","悔恨，後悔 悔いる，悔い 悔やむ，お悔やみ 悔しい，悔しがる",,
182,海（海）,海,"カイ  うみ","海岸，海水浴，航海 海，海鳴り","海女・海士（あま） 海原（うなばら）",
183,界,界,カイ,境界，限界，世界,,
184,皆,皆,"カイ  みな","皆無，皆勤，皆出席 皆，皆さん",,
185,械,械,カイ,機械,,
186,絵（繪）,绘,"カイ  エ","絵画 絵本，絵図，口絵",,
187,開,开,"カイ  ひらく  ひらける  あく  あける","開始，開拓，展開 開く，川開き 開ける 開く 開ける，開けたて","⇔空く，明く ⇔空ける，明ける",
188,階,阶,カイ,階段，階級，地階,,
189,塊,块,"カイ  かたまり","塊状，山塊 塊",,
190,楷,楷,カイ,楷書,,
191,解,解,"カイ  ゲ  とく  とかす  とける","解決，解禁，理解 解脱，解熱剤，解毒剤 解く 解かす 解ける","⇔溶く ⇔溶かす ⇔溶ける",
192,潰,溃,"カイ  つぶす  つぶれる","潰瘍 潰す 潰れる",,
193,壊（壞）,坏,"カイ  こわす  こわれる","壊滅，破壊，決壊 壊す 壊れる",,
194,懐（懷）,怀,"カイ  ふところ  なつかしい  なつかしむ  なつく  なつける","懐中，懐古，述懐 懐，懐手，内懐 懐かしい 懐かしむ 懐く 懐ける",,
195,諧,谐,カイ,俳諧,,
196,貝,贝,かい,貝，貝細工，ほら貝,,
197,外,外,"ガイ  ゲ  そと  ほか  はずす  はずれる","外出，海外，除外 外科，外題，外道 外，外囲い 外，その外 外す，踏み外す 外れる，町外れ",⇔他,
198,劾,劾,ガイ,弾劾,,
199,害,害,ガイ,害悪，被害，損害,,
200,崖,崖,"ガイ  がけ","断崖 崖下",,
201,涯,涯,ガイ,生涯,,
202,街,街,"ガイ   カイ  まち","街頭，市街，商店街 街道 街，街角",⇔町,
203,慨（慨）,慨,ガイ,慨嘆，憤慨，感慨,,
204,蓋,盖,"ガイ  ふた","頭蓋骨 蓋，火蓋",,
205,該,该,ガイ,該当，該博，当該,,
206,概（槪）,概,ガイ,概念，大概，概して,,
207,骸,骸,ガイ,形骸化，死骸,,
208,垣,垣,かき,垣，垣根,,
209,柿,柿,かき,柿,,
210,各,各,"カク  おのおの","各自，各種，各位 各",「各々」とも書く。,
211,角,角,"カク  かど  つの","角度，三角，頭角 角，街角，四つ角 角，角笛",,
212,拡（擴）,扩,カク,拡大，拡張，拡声器,,
213,革,革,"カク  かわ","革新，改革，皮革 革，革靴",⇔皮,
214,格,格,"カク   コウ","格式，規格，性格 格子",,
215,核,核,カク,核心，核反応，結核,,
216,殻（殼）,壳,"カク  から","甲殻，地殻 殻，貝殻",,
217,郭,郭,カク,城郭，外郭，輪郭,,
218,覚（覺）,觉,"カク  おぼえる  さます  さめる","覚悟，知覚，発覚 覚える，覚え 覚ます，目覚まし 覚める，目覚め",,
219,較,较,カク,比較,,
220,隔,隔,"カク  へだてる  へだたる","隔離，隔月，間隔 隔てる，隔て 隔たる，隔たり",,
221,閣,阁,カク,閣議，閣僚，内閣,,
222,確,确,"カク  たしか  たしかめる","確定，確認，正確 確かだ，確かさ 確かめる",,
223,獲,获,"カク  える","獲得，捕獲，漁獲高 獲る，獲物",⇔得る,
224,嚇,嚇,カク,威嚇,,
225,穫,获,カク,収穫,,
226,学（學）,学,"ガク  まなぶ","学習，科学，大学 学ぶ",,
227,岳（嶽）,岳,"ガク  たけ","岳父，山岳 ○○岳",,
228,楽（樂）,乐,"ガク  ラク  たのしい  たのしむ","楽隊，楽器，音楽 楽園，快楽，娯楽 楽しい，楽しさ，楽しげだ 楽しむ",神楽（かぐら）,
229,額,额,"ガク  ひたい","額縁，金額，前額部 額",,
230,顎,额,"ガク  あご","顎関節 顎",,
231,掛,挂,"かける  かかる  かかり","掛ける 掛かる 掛","⇔懸ける，架ける，賭ける ⇔係る，懸かる，架かる ⇔係",
232,潟,泻,かた,干潟，○○潟,,
233,括,括,カツ,括弧，一括，包括,,
234,活,活,カツ,活動，活力，生活,,
235,喝（喝）,喝,カツ,喝破，一喝，恐喝,,
